name,url,description,category,pricing,hasApi,tags,modelId,author,pipelineTag,libraryName,downloads,popularityTier,libraryRank,likesTier,recencyTier,languageTier,licenseTier,parameterSizeTier,formatTier,pipelineTaskTier,useCaseTier,downloadVolumeTier,creatorTier,likes,lastModified,createdAt,license,language,urlDomainTier,descriptionLengthTier,categorizationTier
BAAI/bge-base-zh-v1.5,https://huggingface.co/BAAI/bge-base-zh-v1.5,"feature extraction (sentence-transformers) — license: mit — 592,906 downloads",embedding,unknown,false,"[""sentence-transformers"",""pytorch"",""bert"",""feature-extraction"",""sentence-similarity"",""transformers"",""zh"",""text-embeddings-inference"",""endpoints_compatible""]",BAAI/bge-base-zh-v1.5,BAAI,feature-extraction,sentence-transformers,592906,top25pct,top5pct,rest,ancient,monolingual,permissive,unknown,pytorch-legacy,discriminative,embedding,established,frontier-lab,105,2023-10-12T03:35:51.000Z,2023-09-12T05:21:53.000Z,mit,"[""zh""]",registry-hosted,normal,specific
ZhengPeng7/BiRefNet_HR,https://huggingface.co/ZhengPeng7/BiRefNet_HR,"image segmentation (birefnet) — license: mit — 113,947 downloads",image-classification,unknown,false,"[""birefnet"",""safetensors"",""background-removal"",""mask-generation"",""dichotomous image segmentation"",""camouflaged object detection"",""salient object detection"",""pytorch_model_hub_mixin"",""model_hub_mixin"",""image-segmentation"",""custom_code"",""endpoints_compatible""]",ZhengPeng7/BiRefNet_HR,ZhengPeng7,image-segmentation,birefnet,113947,rest,rest,rest,recent,unknown,permissive,unknown,safetensors,discriminative,vision,established,community,74,2026-02-04T22:43:53.000Z,2025-02-01T17:52:14.000Z,mit,[],registry-hosted,normal,specific
ostris/zimage_turbo_training_adapter,https://huggingface.co/ostris/zimage_turbo_training_adapter,"text to image (diffusers) — license: apache-2.0 — 79,262 downloads",image-generation,unknown,false,"[""diffusers"",""text-to-image"",""lora"",""template:diffusion-lora""]",ostris/zimage_turbo_training_adapter,ostris,text-to-image,diffusers,79262,rest,top25pct,rest,recent,unknown,permissive,unknown,unknown,generative,vision,niche,community,136,2025-12-01T14:17:34.000Z,2025-11-28T14:57:04.000Z,apache-2.0,[],registry-hosted,normal,specific
mlx-community/gemma-3-4b-it-qat-4bit,https://huggingface.co/mlx-community/gemma-3-4b-it-qat-4bit,"image text to text (transformers) — license: other — 135,131 downloads",multimodal,unknown,false,"[""transformers"",""safetensors"",""gemma3"",""image-text-to-text"",""internvl"",""custom_code"",""mlx"",""conversational"",""multilingual"",""text-generation-inference"",""endpoints_compatible""]",mlx-community/gemma-3-4b-it-qat-4bit,mlx-community,image-text-to-text,transformers,135131,rest,top1pct,rest,stale,unknown,unknown,small,mlx-format,multimodal,multimodal,established,aggregator,9,2025-04-21T20:31:00.000Z,2025-04-15T13:38:12.000Z,other,[],registry-hosted,normal,specific
depth-anything/DA3MONO-LARGE,https://huggingface.co/depth-anything/DA3MONO-LARGE,"depth estimation (depth-anything-3) — license: apache-2.0 — 102,369 downloads",object-detection,unknown,false,"[""depth-anything-3"",""safetensors"",""depth-estimation"",""computer-vision"",""monocular-depth"",""multi-view-geometry"",""pose-estimation""]",depth-anything/DA3MONO-LARGE,depth-anything,depth-estimation,depth-anything-3,102369,rest,rest,rest,older,unknown,permissive,unknown,safetensors,discriminative,vision,established,community,14,2025-11-13T18:51:28.000Z,2025-11-13T18:48:58.000Z,apache-2.0,[],registry-hosted,normal,specific
axolotl-ai-co/tiny-qwen2-129m,https://huggingface.co/axolotl-ai-co/tiny-qwen2-129m,"— 40,247 downloads",other,unknown,false,"[""safetensors"",""qwen2""]",axolotl-ai-co/tiny-qwen2-129m,axolotl-ai-co,,,40247,rest,unknown,unknown,recent,unknown,unknown,tiny,safetensors,unknown,unknown,niche,community,0,2026-04-22T15:30:42.000Z,2026-04-22T15:29:28.000Z,,[],registry-hosted,terse,other
deepset/roberta-large-squad2,https://huggingface.co/deepset/roberta-large-squad2,"question answering (transformers) — license: cc-by-4.0 — 61,108 downloads",question-answering,unknown,false,"[""transformers"",""pytorch"",""jax"",""safetensors"",""roberta"",""question-answering"",""en"",""model-index"",""endpoints_compatible""]",deepset/roberta-large-squad2,deepset,question-answering,transformers,61108,rest,top1pct,rest,stale,monolingual,permissive,unknown,safetensors,qa,nlp-classic,niche,community,29,2024-09-26T08:05:59.000Z,2022-03-02T23:29:05.000Z,cc-by-4.0,"[""en""]",registry-hosted,normal,specific
HumanCompatibleAI/ppo-seals-CartPole-v0,https://huggingface.co/HumanCompatibleAI/ppo-seals-CartPole-v0,"reinforcement learning (stable-baselines3) — 80,078 downloads",reinforcement-learning,unknown,false,"[""stable-baselines3"",""seals/cartpole-v0"",""deep-reinforcement-learning"",""reinforcement-learning"",""model-index""]",HumanCompatibleAI/ppo-seals-CartPole-v0,HumanCompatibleAI,reinforcement-learning,stable-baselines3,80078,rest,rest,rest,ancient,unknown,unknown,unknown,unknown,specialized,other,niche,community,16,2023-09-19T09:41:41.000Z,2022-12-29T13:39:32.000Z,,[],registry-hosted,normal,specific
onnx-community/whisper-base,https://huggingface.co/onnx-community/whisper-base,"automatic speech recognition (transformers.js) — 41,214 downloads",speech,unknown,false,"[""transformers.js"",""onnx"",""whisper"",""automatic-speech-recognition""]",onnx-community/whisper-base,onnx-community,automatic-speech-recognition,transformers.js,41214,rest,top25pct,rest,older,unknown,unknown,unknown,onnx-format,generative,audio,niche,community,27,2025-06-19T13:49:48.000Z,2024-05-24T17:00:47.000Z,,[],registry-hosted,normal,specific
sshleifer/distilbart-cnn-12-6,https://huggingface.co/sshleifer/distilbart-cnn-12-6,"summarization (transformers) — license: apache-2.0 — 1,340,359 downloads",summarization,unknown,false,"[""transformers"",""pytorch"",""jax"",""rust"",""bart"",""text2text-generation"",""summarization"",""en"",""endpoints_compatible""]",sshleifer/distilbart-cnn-12-6,sshleifer,summarization,transformers,1340359,top25pct,top1pct,top25pct,ancient,monolingual,permissive,unknown,pytorch-legacy,generative,chat,mainstream,community,319,2021-06-14T07:51:12.000Z,2022-03-02T23:29:05.000Z,apache-2.0,"[""en""]",registry-hosted,normal,specific
