name,url,description,category,pricing,hasApi,tags,publisherSlug,extensionId,marketplace,installCount,popularityTier,publisherRank,recencyTier,versionTier,installVolumeTier,lastUpdated,version,urlDomainTier,descriptionLengthTier,categorizationTier
Cody,https://marketplace.visualstudio.com/items?itemName=neuralgeeks.cody,Cody: your code assistant for Visual Studio Code,ai-assistant,unknown,false,"[""other""]",neuralgeeks,neuralgeeks.cody,vscode,59659,rest,rest,stale,prerelease,niche,2024-07-12T02:12:50.547Z,0.2.2,commercial,terse,specific
Azure API Management,https://marketplace.visualstudio.com/items?itemName=ms-azuretools.vscode-apimanagement,An Azure API Management extension for Visual Studio Code.,cloud-and-devops,unknown,true,"[""azure"",""api management"",""apim"",""apim-policy"",""azure"",""debuggers"",""json"",""language-model-tools"",""openapi"",""policy"",""snippet"",""swagger""]",ms-azuretools,ms-azuretools.vscode-apimanagement,vscode,258510,rest,top1pct,older,stable,established,2025-07-31T07:10:42.013Z,1.3.0,commercial,normal,specific
TIFF Preview,https://marketplace.visualstudio.com/items?itemName=analytic-signal.preview-tiff,Preview TIFF (.tiff) files in VSCode,database-and-sql,unknown,false,"[""other"",""data science"",""tiff""]",analytic-signal,analytic-signal.preview-tiff,vscode,92359,rest,top25pct,ancient,stable,niche,2021-06-21T20:49:25.98Z,1.0.1,commercial,terse,specific
Swift Playgrounds,https://marketplace.visualstudio.com/items?itemName=pieterjongsma.swift-playgrounds,Allows opening and running of Swift playground bundles.,debuggers,unknown,false,"[""debuggers"",""playground"",""swift playground"",""swift-playground""]",pieterjongsma,pieterjongsma.swift-playgrounds,vscode,133442,rest,rest,ancient,prerelease,established,2019-08-05T14:53:11.733Z,0.1.1,commercial,normal,specific
Graphviz Markdown Preview,https://marketplace.visualstudio.com/items?itemName=geeklearningio.graphviz-markdown-preview,Adds Graphviz support to VSCode's builtin markdown preview,documentation,unknown,false,"[""other""]",geeklearningio,geeklearningio.graphviz-markdown-preview,vscode,56644,rest,rest,ancient,prerelease,niche,2019-07-03T11:52:38.087Z,0.0.8,commercial,normal,specific
ilspy-vscode,https://marketplace.visualstudio.com/items?itemName=icsharpcode.ilspy-vscode,"Decompile MSIL assemblies - support for full framework, .NET Core and .NET Standard",extension-dev-tools,unknown,false,"[""other"",""ilspyc"",""ilspy-code-cs"",""ilspy-code-il"",""ilspyil"",""language-model-tools"",""tools""]",icsharpcode,icsharpcode.ilspy-vscode,vscode,193180,rest,rest,fresh,stable,established,2026-05-25T13:45:48.443Z,1.0.0,commercial,normal,specific
Perforce for VS Code,https://marketplace.visualstudio.com/items?itemName=mjcrouch.perforce,(2020 Fork) Perforce integration with VS Code's SCM features,git-and-collaboration,unknown,false,"[""scm providers"",""keybindings"",""multi-root ready"",""perforce"",""scm"",""vscode""]",mjcrouch,mjcrouch.perforce,vscode,152678,rest,rest,older,mature,established,2025-11-02T12:26:47.773Z,4.17.0,commercial,normal,specific
Pygame Snippets,https://marketplace.visualstudio.com/items?itemName=tushortz.pygame-snippets,Pygame Snippets is a vscode snippet that makes it easy to create games in python using pygame,language-syntax,unknown,false,"[""snippets"",""completion"",""pygame"",""python"",""snippets""]",tushortz,tushortz.pygame-snippets,vscode,750032,top25pct,top5pct,ancient,prerelease,established,2016-02-25T10:53:29.863Z,0.0.1,commercial,normal,specific
Parquet Visualizer,https://marketplace.visualstudio.com/items?itemName=lucien-martijn.parquet-visualizer,"Inspect and query very large Parquet, Avro and CSV files fast and easy",linters-and-formatters,unknown,false,"[""formatters"",""data science"",""visualization"",""avro"",""csv"",""duckdb"",""parquet"",""query"",""schema"",""sql"",""table"",""visualizer""]",lucien-martijn,lucien-martijn.parquet-visualizer,vscode,66485,rest,rest,recent,prerelease,niche,2026-01-17T12:54:01.29Z,0.31.1,commercial,normal,specific
Codeium Enterprise Updater,https://marketplace.visualstudio.com/items?itemName=Codeium.codeium-enterprise-updater,Codeium enterprise updater extension. For self-hosted enterprise customers only.,other,unknown,false,"[""other""]",codeium,codeium.codeium-enterprise-updater,vscode,229807,rest,top5pct,stale,stable,established,2024-10-14T21:54:12.787Z,1.0.18,commercial,normal,other
Angular Productivity Pack,https://marketplace.visualstudio.com/items?itemName=devboosts.angular-productivity-pack,A collection of Angular extensions to boost productivity,productivity,unknown,false,"[""extension packs"",""javascript""]",devboosts,devboosts.angular-productivity-pack,vscode,32926,rest,rest,ancient,stable,niche,2020-08-20T11:29:42.577Z,2.6.0,commercial,normal,specific
PHPUnit,https://marketplace.visualstudio.com/items?itemName=emallin.phpunit,Run PHPUnit tests from VSCode.,testing,unknown,false,"[""testing"",""docker"",""php"",""phpunit"",""ssh"",""test"",""unittest"",""xml""]",emallin,emallin.phpunit,vscode,210907,rest,rest,ancient,mature,established,2024-03-06T18:51:46.783Z,4.16.1,commercial,terse,specific
Hacker X Theme,https://marketplace.visualstudio.com/items?itemName=HasiburR.dark-hacker-theme-by-hasibur-r,"Multi-variant pure dark hacker theme for VS Code – Matrix green, terminal, neon, and more.",themes-and-icons,unknown,false,"[""themes"",""akon m hasib"",""code editor theme"",""coding theme"",""color-theme"",""custom themes"",""cyber theme"",""cyberpunk"",""cybersecurity theme"",""dark coding theme"",""dark mode"",""dark theme""]",hasiburr,hasiburr.dark-hacker-theme-by-hasibur-r,vscode,32126,rest,rest,older,mature,niche,2025-12-08T23:06:25.027Z,9.0.1,commercial,normal,specific
VSCode Dimmer Block,https://marketplace.visualstudio.com/items?itemName=imagio.vscode-dimmer-block,"Highlights the block containing the cursor, dims other text.",ai-assistant,unknown,false,"[""other""]",imagio,imagio.vscode-dimmer-block,vscode,33979,rest,rest,ancient,stable,niche,2019-09-12T16:01:12.74Z,2.2.0,commercial,normal,specific
Azure Devops Codespaces Authentication,https://marketplace.visualstudio.com/items?itemName=ms-codespaces-tools.ado-codespaces-auth,Seamless authentication to Azure Devops in GitHub Codespaces,cloud-and-devops,unknown,false,"[""other""]",ms-codespaces-tools,ms-codespaces-tools.ado-codespaces-auth,vscode,247551,rest,rest,ancient,stable,established,2024-02-13T05:24:50.883Z,1.2.1,commercial,normal,specific
Reactive Jupyter,https://marketplace.visualstudio.com/items?itemName=micoloth.reactive-jupyter,Reactive execution of a Python script. Keep your Jupyter kernel in sync with your code.,database-and-sql,unknown,false,"[""data science"",""machine learning"",""notebooks"",""jupyter"",""keybindings"",""multi-root ready"",""notebook"",""notebookkerneljupyternotebook"",""python"",""reactive""]",micoloth,micoloth.reactive-jupyter,vscode,61505,rest,rest,recent,prerelease,niche,2026-04-01T09:36:58.003Z,0.5.1,commercial,normal,specific
Lua Debugger,https://marketplace.visualstudio.com/items?itemName=devCAT.lua-debug,"Visual Studio Code debugger extension for Lua 5.1, 5.2, 5.3",debuggers,unknown,false,"[""debuggers"",""debuggers""]",devcat,devcat.lua-debug,vscode,99985,rest,rest,ancient,stable,niche,2019-04-02T07:52:58.943Z,1.1.1,commercial,normal,specific
Markdown Kroki,https://marketplace.visualstudio.com/items?itemName=pomdtr.markdown-kroki,Adds Kroki diagram support to VS Code's builtin markdown preview,documentation,unknown,false,"[""other"",""actdiag"",""blockdiag"",""bpmn"",""bytefield"",""c4plantuml"",""d2"",""dbml"",""diagram"",""diagramsnet"",""ditaa"",""erd""]",pomdtr,pomdtr.markdown-kroki,vscode,47776,rest,top25pct,ancient,stable,niche,2024-02-02T00:08:23.98Z,1.1.2,commercial,normal,specific
Open in NPM,https://marketplace.visualstudio.com/items?itemName=fabiospampinato.vscode-open-in-npm,"Open the current selection, project, or arbitrary string, in npmjs.com.",extension-dev-tools,unknown,false,"[""other"",""extension"",""in"",""npm"",""open"",""vsc"",""vscode""]",fabiospampinato,fabiospampinato.vscode-open-in-npm,vscode,50364,rest,top5pct,ancient,stable,niche,2024-03-12T21:01:32.517Z,2.1.0,commercial,normal,specific
GitKraken Boards,https://marketplace.visualstudio.com/items?itemName=axosoft.gitkraken-glo,Kanban boards for issue & task tracking.,git-and-collaboration,unknown,false,"[""other"",""gitkraken"",""glo"",""issue board"",""issue tracker"",""kanban"",""project management"",""task tracker""]",axosoft,axosoft.gitkraken-glo,vscode,35389,rest,rest,ancient,stable,niche,2022-11-08T19:14:52.99Z,1.1.2,commercial,terse,specific
css-triggers,https://marketplace.visualstudio.com/items?itemName=kisstkondoros.csstriggers,Adds cost indicator to css properties in the form of inline decorations,language-syntax,unknown,false,"[""other"",""css"",""less"",""scss"",""stylable"",""stylus""]",kisstkondoros,kisstkondoros.csstriggers,vscode,51120,rest,top5pct,ancient,prerelease,niche,2022-12-28T14:09:18Z,0.15.0,commercial,normal,specific
markdownlint,https://marketplace.visualstudio.com/items?itemName=DavidAnson.vscode-markdownlint,Markdown linting and style checking for Visual Studio Code,linters-and-formatters,unknown,false,"[""linters"",""formatters"",""commonmark"",""json"",""lint"",""linters"",""markdown"",""md"",""multi-root ready"",""snippet""]",davidanson,davidanson.vscode-markdownlint,vscode,11442797,top5pct,top5pct,recent,prerelease,viral,2026-03-30T00:06:29.23Z,0.61.2,commercial,normal,specific
OpenRouter AI,https://marketplace.visualstudio.com/items?itemName=khaled.vscode-openrouter-extension,VSCode web extension that integrates OpenRouter API for code completion and chat.,other,unknown,true,"[""other""]",khaled,khaled.vscode-openrouter-extension,vscode,32354,rest,rest,stale,prerelease,niche,2024-10-07T12:00:04.82Z,0.5.0,commercial,normal,other
classdiagram-ts,https://marketplace.visualstudio.com/items?itemName=AlexShen.classdiagram-ts,Generates class diagram for typescript projects,productivity,unknown,false,"[""visualization"",""class"",""classdiagram"",""diagram"",""typescript"",""uml""]",alexshen,alexshen.classdiagram-ts,vscode,74403,rest,rest,ancient,prerelease,niche,2022-07-30T03:42:10.83Z,0.1.67,commercial,terse,specific
Playwright Test Runner,https://marketplace.visualstudio.com/items?itemName=sakamoto66.vscode-playwright-test-runner,Simple way to run or debug a single (or multiple) tests from context-menu,testing,unknown,false,"[""testing""]",sakamoto66,sakamoto66.vscode-playwright-test-runner,vscode,92310,rest,rest,ancient,stable,niche,2023-07-07T06:28:02.85Z,1.4.1,commercial,normal,specific
Stardew Icon Theme,https://marketplace.visualstudio.com/items?itemName=klyap.vscode-stardew-icon-theme,Icons from the game Stardew Valley,themes-and-icons,unknown,false,"[""themes"",""cat"",""cozy"",""cute"",""farm"",""game"",""icon"",""icons"",""icon-theme"",""pixel"",""stardew"",""theme""]",klyap,klyap.vscode-stardew-icon-theme,vscode,33636,rest,rest,ancient,prerelease,niche,2020-10-28T04:54:26.353Z,0.0.7,commercial,terse,specific
Droid - Factory's AI Coding Agent,https://marketplace.visualstudio.com/items?itemName=Factory.factory-vscode-extension,Factory Droid for VS Code: Enterprise coding agents in your IDE,ai-assistant,unknown,false,"[""ai""]",factory,factory.factory-vscode-extension,vscode,35336,rest,rest,recent,prerelease,niche,2026-05-07T22:37:12.317Z,0.2.3,commercial,normal,specific
Databricks Power Tools,https://marketplace.visualstudio.com/items?itemName=paiqo.databricks-vscode,"Run notebooks cell-by-cell, browse and edit your Databricks Workspace, DBFS, Clusters, Jobs, Secrets, Repos and SQL. Supports Azure Databricks, Databricks on AWS and Databricks on GCP.",cloud-and-devops,unknown,false,"[""azure"",""data science"",""machine learning"",""notebooks"",""aws"",""azure"",""cluster"",""data"",""databricks"",""gcp"",""notebook"",""notebookkerneljupyternotebook""]",paiqo,paiqo.databricks-vscode,vscode,146688,rest,rest,recent,stable,established,2026-03-15T09:47:45.627Z,2.8.6,commercial,normal,specific
